INFO:root:

 PROGRAM EXECUTION START 


INFO:root:Writer waited 0.16425800323486328 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.14931702613830566 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.136275053024292 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.13417506217956543 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.8133392333984375e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.29483699798583984 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08137392997741699 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.03432607650756836 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.1505589485168457 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.0040740966796875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.11769890785217285 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.06388401985168457 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.11308789253234863 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.060714006423950195 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.24220800399780273 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1407780647277832 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.018735885620117188 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.018962860107421875 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.10711979866027832 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6702880859375e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.12324905395507812 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.12208795547485352 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.07560586929321289 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.09021425247192383 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.0994415283203125e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00016188621520996094 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.10252785682678223 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.10255694389343262 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.8848648071289062e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.00010800361633300781 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.13317203521728516 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.0994415283203125e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 9.226799011230469e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.16539692878723145 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.07863616943359375 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.03172588348388672 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.3613100051879883 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.044740915298461914 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.19638299942016602 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.07295393943786621 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 3.409385681152344e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00023412704467773438 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.11630892753601074 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1311049461364746 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.13123416900634766 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.11597514152526855 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.030223846435546875 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.016579151153564453 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.3729379177093506 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 3.0040740966796875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.14861583709716797 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.13418817520141602 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08985090255737305 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.13508915901184082 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 9.083747863769531e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.11749100685119629 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.0878610610961914 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08709597587585449 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08742094039916992 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.03151512145996094 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08904027938842773 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09014511108398438 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.10428380966186523 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.013994932174682617 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.015148162841796875 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0008270740509033203 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.10205698013305664 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.01618194580078125 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.027579307556152344 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.17407798767089844 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7894973754882812e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.30397677421569824 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.6702880859375e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 9.965896606445312e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.21422100067138672 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.17352724075317383 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.11588191986083984 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.5033950805664062e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.12940025329589844 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.11525917053222656 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0868232250213623 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08528590202331543 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.07090520858764648 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.07071685791015625 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.02892899513244629 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.029501914978027344 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.029911041259765625 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.12967991828918457 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.12703800201416016 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08546924591064453 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.05617690086364746 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.029590129852294922 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.8133392333984375e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.29986023902893066 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.013695955276489258 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.0001766681671142578 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08599710464477539 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7179718017578125e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.14351391792297363 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.015466928482055664 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.12877798080444336 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.00011229515075683594 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.04305672645568848 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.8133392333984375e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 8.487701416015625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.129317045211792 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08645391464233398 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.2901763916015625e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 9.393692016601562e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.21497821807861328 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.07039022445678711 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.04316377639770508 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.41135287284851074 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.5272369384765625e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1836228370666504 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0001049041748046875 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09899282455444336 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.9802322387695312e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.21086478233337402 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.013875007629394531 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.14048981666564941 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.14167523384094238 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.12787508964538574 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.504753112792969e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08476638793945312 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.6226043701171875e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.09843087196350098 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.7179718017578125e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.11239004135131836 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.013494014739990234 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.00021386146545410156 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08478379249572754 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.574920654296875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0711219310760498 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.0438079833984375 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.013852834701538086 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00017189979553222656 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.32593703269958496 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08778595924377441 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.2846369743347168 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.2575209140777588 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.014909982681274414 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.044451236724853516 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5272369384765625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.14568495750427246 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.00011682510375976562 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.15824222564697266 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08453893661499023 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.9087066650390625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 8.225440979003906e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09966325759887695 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.07344293594360352 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7894973754882812e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08648014068603516 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.19958877563476562 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5987625122070312e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.07058095932006836 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.574920654296875e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.06988906860351562 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.0040740966796875e-05 seconds for acquiring lock, locked memory block B
